name,url,stars,rating,price,address,description,equipments,capacity,payment_methods,opening_periods
hotelF1 Avignon Courtine Gare TGV,https://avignon-tourisme.com/offres/hotelf1-avignon-courtine-gare-tgv-avignon-fr-4143844/,0,,35€,"205, Rue Jean Marie Tjibaou, 205 rue JM Tjibaou, 84000 Avignon","L’hôtel 1 étoile et ses 71 chambres vous accueillent à moins de 3 km des remparts et à 800 m de la gare TGV. Son équipe conviviale vous propose des chambres confortables, dont les CABRIO avec salle de bain privative, pour un séjour pratique et économique.","Accessible en fauteuil roulant en autonomie,Matériel Bébé,Climatisation,Lit bébé,Terrasse,Climatisation,Parking,Jardin,Parking privé,Parking gratuit,Animaux acceptés,Petit déjeuner",3 Chambre(s) pour personne à mobilité réduite,"Carte bancaire/crédit,Chèque,Chèque-Vacances Classic",Toute l'année 2025 - Ouvert tous les jours
La Reine Jeanne - Location de vacances,https://avignon-tourisme.com/offres/la-reine-jeanne-location-de-vacances-avignon-fr-4143777/,0,,,"24, bis rue Saint Etienne, rue Petite Saunerie, Rue Banasterie, 84000 Avignon","Cinq appartements de charme dans un Hôtel Particulier du XVe siècle et une ancienne maison de ville, tous idéalement situés dans le centre historique d'Avignon, proches du Palais des Papes.","Non accessible en fauteuil roulant,Climatisation,Lit bébé,Coffre privatif,Accès Internet privatif Wifi,Matériel Bébé,Parking,Parking payant,Habitation indépendante,Climatisation,Animaux acceptés,Ménage avec supplément",6 Chambre(s),Chèque,Toute l'année 2025 - Ouvert tous les jours
Hôtel Médiéval,https://avignon-tourisme.com/offres/hotel-medieval-avignon-fr-4143611/,0,,85€,"15, rue de la Petite Saunerie, 84000 Avignon","Hôtel de charme situé dans une rue calme au coeur  du centre historique d'Avignon. L'Hôtel Médiéval dispose de 34 chambres confortables, équipées de douche ou de bain WC, téléphone direct, télévision et accès internet.","Non accessible en fauteuil roulant,Matériel Bébé,Coffre privatif,Coin cuisine,Lit bébé,Chambre familiale,Abris pour vélo ou VTT,Climatisation,Jardin,Accueil nuit,Petit déjeuner,Bagagerie",34 Chambre(s) double,"Carte bancaire/crédit,Chèque,Chèque-Vacances Classic,Espèces",Toute l'année 2025 - Ouvert tous les jours
Domaine de Rhodes - Appartement Durance,https://avignon-tourisme.com/offres/domaine-de-rhodes-appartement-durance-avignon-fr-5349284/,0,,1050€,"Domaine de Rhodes, 486 chemin de Rhodes, Ile de la Barthelasse, 84000 Avignon","La campagne à 5 minutes du centre historique et médiéval, c'est possible dans ce magnifique domaine idéalement situé, sur l'Ile de la Barthelasse, en face les fameux remparts d’Avignon.",Piscine,2 Lit(s) simple(s),"Carte bancaire/crédit,Chèque,Chèque-Vacances Classic,Espèces,Virement",Du 1 avril 2025 au 31 octobre 2025 - Ouvert tous les jours
N° 15 Les Confidences- Chambres d'hôtes,https://avignon-tourisme.com/offres/n-15-les-confidences-chambres-dhotes-avignon-fr-4143837/,0,,195€,"15, Rue Saluces, 84000 Avignon","Maison d’hôtes de charme, cinq chambres et piscine, située au cœur d’Avignon dans un écrin de verdure au calme.",Piscine,5 Chambre(s),"Carte bancaire/crédit,Chèque",Toute l'année 2025 - Ouvert tous les jours
L'Oriflamme / Le Travertin,https://avignon-tourisme.com/offres/loriflamme-le-travertin-avignon-fr-4143515/,0,,,"5 rue de L'Oriflamme, 6bis rue Jacob, 84000 Avignon","Cinq appartements situés dans l'hypercentre d'Avignon à 5mn à pied du Palais des Papes et proche de toutes les commodités. Meublés de tourisme **, label ""accueil vélo"" avec de très bonnes prestations.","Lit bébé,Accès Internet privatif Wifi,Matériel Bébé,Parking,Parking payant,Habitation indépendante,Terrasse,Climatisation,Accès Internet Wifi,Ménage en fin de séjour,Animaux non acceptés",8 Lit(s) double(s),"Carte bancaire/crédit,Chèque-Vacances Classic",Toute l'année 2025 - Ouvert tous les jours
Altera Roma Boutique Hôtel,https://avignon-tourisme.com/offres/altera-roma-boutique-hotel-avignon-fr-4143752/,0,,80€,"13, Avenue Monclar, 84000 Avignon","Altera Roma Boutique hôtel situé à 10 mn à pied du centre ville, propose 10 chambres rénovées et climatisées donnant pour la plupart sur un jardin ombragé et fleuri. Le petit déjeuner, composé de produits locaux vous est offert.","Accessible en fauteuil roulant en autonomie,Matériel Bébé,Lit 140 cm,Climatisation,Coffre privatif,Coin cuisine,Lit 160 cm,Lit bébé,Chambre familiale,Abris pour vélo ou VTT,Bar,Terrasse",1 Chambre(s) pour personne à mobilité réduite,"Carte bancaire/crédit,Chèque-Vacances Classic,Espèces,Union Pay",Toute l'année 2025 - Ouvert tous les jours
Hôtel d'Europe,https://avignon-tourisme.com/offres/hotel-deurope-avignon-fr-4143430/,0,,310€,"12, place Crillon, 84000 Avignon","Notre Hôtel ***** vous accueille dans un cadre élégant et raffiné, empreint d'histoire.","Accessible en fauteuil roulant en autonomie,Une chambre PMR,Alarme visuelle avec flash lumineux,Boucle magnétique disponible à l’accueil,Climatisation,Lit 160 cm,Lit bébé,Coffre privatif,Lit 180 cm,Matériel Bébé,Baignoire,Restaurant",2 Chambre(s) pour personne à mobilité réduite,"Carte bancaire/crédit,Espèces",Du 15 mars 2025 au 31 décembre 2025 - Ouvert tous les jours
L'Ilot Bambou - Chambres d'hôtes,https://avignon-tourisme.com/offres/lilot-bambou-chambres-dhotes-avignon-fr-4144042/,0,,90€,"3 Chemin des Tennis, Ile Piot, 84000 Avignon","Située à 500 m du centre historique d'Avignon, sur l'île de la Barthelasse, L'Ilot Bambou est une maison d'hôtes offrant 5 chambres climatisées dans un jardin exotique. Les plus : une piscine hors-sol, un local à vélos/motos, et sur la Via Rhôna.",Piscine,1 Lit(s) double(s),"Chèque,Espèces",Du 28 février 2025 au 31 octobre 2025 - Ouvert tous les jours
Les  Peupliers,https://avignon-tourisme.com/offres/les-peupliers-avignon-fr-4604240/,0,,,"2, rue Joseph Roumanille, 84000 Avignon","L'appartement ""Les Peupliers"" un charmant T3 avec 2 chambres,  situé dans un quartier calme à proximité des commodités. Lumineux, avec un séjour spacieux, une cuisine équipée, chambres confortables et un balcon,  un cadre de vie agréable et pratique.","Lit 140 cm,Balcon,Abris pour vélo ou VTT,Terrasse,Parking,Equipements développement durable,Gestion des déchets,Parking gratuit,Parking à vélo,Animaux non acceptés",2 Chambre(s),"Chèque,Paiement en ligne",Du 1 août 2025 au 30 juin 2026 - Ouvert tous les jours
