name,description,price_min,rating,phone,address,opening_hours
Le Molière - Avignon,"Situé au coeur de la Cité des Papes, sur la place des Corps Saints avec sa fontaine et ses platanes centenaires, Le restaurant Molière vous accueille dans un cadre chaleureux et familial.",9€,9.4 Excellent,0432763179,"68, place des Corps Saints, 84000 Avignon",De 8h à 15h30
Les Bulleuses - Le Bistrot - Avignon,"Le Bistrot des Bulleuses propose une cuisine de produits provençaux et 100% fait maison. Pour l'apéro, un choix de bières artisanales locales et un cidre à la pression, une carte de vins locaux, des cocktails et des tapas (panisse...) à partager.",3.50€,N/A,0490033207,"50 Place des Corps Saints, 84000 Avignon","Lundi, Jeudi, Vendredi, Samedi, Dimanche : ouvert | Lundi, Mardi, Jeudi, Vendredi, Samedi, Dimanche : ouvert | Ouvert tous les jours les mois de juin et juillet | Lundi, Jeudi, Vendredi, Samedi, Dimanche : ouvert"
Restaurant Le Goût du Jour - Avignon,"Restaurant intimiste proposant une cuisine innovante, des accords mets et vins, et des menus renouvelés chaque jour. ✨",12€,9.3 Excellent,0432763216,"20, rue Saint-Etienne, 84000 Avignon",N/A
Le Quai des Saveurs - Avignon,"Venez savourer petit-déjeuner, déjeuner, goûter, cocktail & dîner dans un cadre chic & élégant avec vue exceptionnelle sur le centre historique d’Avignon .",18€,N/A,0490141002,"40 Bd St Roch - Parvis de la Gare centre, 84000 Avignon",De 6h00 à 22h00
Le Saint Chocolat - Avignon,Nous vous proposons une pause gourmande salée et sucrée tout au long de la journée dans notre coffee-shop à la française.,N/A,N/A,0490279851,"1, Place Saint-Didier, 84000 Avignon",Fermé le dimanche.
L'Epicerie - Avignon,"A quelques pas du Palais des papes, sur la plus pittoresque place de la cité, dans un cadre original et coloré, avec terrasse donnant sur le parvis de la basilique St Pierre, une amoureuse de la Provence vous propose une cuisine familiale et généreuse.",14€,9.1 Excellent,0490827422,"10, Place Saint-Pierre, 84000 Avignon",De 12h à 14h et de 19h à 22h ou 22h30.
Best Western Plus Le Lavarin - Restaurant - Avignon,Savourez un moment de détente au calme dans le jardin arboré d'oliviers et de platanes centenaires et profitez de l'espace piscine sécurisé.,8€,8.3 Très bon,0490895060,"1715, chemin du Lavarin, 84000 Avignon","Du Lundi au vendredi midi (12h - 13h30) et soir (19h - 21h.) | A partir du 9 mars, ouvert tous les samedis soirs (19h à 21h) !"
Restaurant Chez Françoise - Avignon,Restaurant & salon de thé.,10.50€,9.1 Excellent,0679499705,"Sarl Melido, 6, rue du Général Leclerc, 84000 Avignon",Ouvert de 8h à 19h | Fermé en aout
La Fourchette - Avignon,Restaurant cosy autour d'une cuisine de produits frais et de vins régionaux majoritairement.,15€,9.3 Excellent,0490852093,"17 rue Racine, 84000 Avignon",12:30 - 13:30 | 12:30 - 13:30 | 12:30 - 13:30 | 12:30 - 13:30 | 12:30 - 13:30 | Fermé | Fermé
Auberge de la Treille - Avignon,"L'Auberge de La Treille Avignon c'est : un restaurant, 5 chambres d'hôtes et un lieu d'évènements !",50€,9.5 Excellent,0490164620,"26, Chemin de l'Île de Piot, 26, Chemin de l'Ile Piot, 84000 Avignon",De 12h à 13h30 et de 19h30 à 21h
Aubergine - Villeneuve-lès-Avignon,"Cosy, frais et bon, l'Aubergine vous propose une cuisine traditionnelle, provençale et créative sur sa terrasse ombragée. Plats végétariens et plats bio, produits frais et pain fait maison. Plateau tapas,burger maison.",9€,8.6 Très bon,0490900564,"15 rue de la République, 30400 Villeneuve-lès-Avignon",N/A
La Mirande - La Table Haute - Avignon,Le restaurant La Table Haute de l’hôtel La Mirande à Avignon propose une cuisine traditionnelle dans la partie médiévale historique. Menu à partager autour d’une immense table.,120€,8.9 Très bon,0490142020,"4 Place de l'Amirande, Hôtel La Mirande, 84000 Avignon",Fermé | 20:00 - 09:41 | 20:00 - 09:41 | 20:00 - 09:41 | 20:00 - 09:41 | 20:00 - 09:41 | Fermé
Cuisine Centr'Halles - Avignon,Restaurant pour le déjeuner et cours de cuisine dans le marché historique des Halles au cœur d’Avignon. Ainsi que les services de Chef à Domicile,8€,9.4 Excellent,0646898533,"18 place Pie, Les Halles, 84000 Avignon",Fermé | 09:30 - 14:00 | 09:30 - 14:00 | 09:30 - 14:00 | 09:30 - 14:00 | 09:30 - 14:00 | 09:30 - 14:00
O'Gastos - Saint-Saturnin-lès-Avignon,"O’Gastos vous propose une cuisine savoureuse, des plats traditionnels et des produits de saison.",11€,9.7 Excellent,+33(0)490881193,"49 rue porte de Jonquerettes, 84450 Saint-Saturnin-lès-Avignon",Fermé | Fermé | 12:00 - 13:15 | 19:00 - 20:15 | 12:00 - 13:15 | 19:00 - 20:15 | 12:00 - 13:15 | 19:00 - 20:15 | 12:00 - 13:15 | 19:00 - 20:15 | 12:00 - 14:00
Maison Bronzini - Le Bistrot du Moulin - Villeneuve-lès-Avignon,"A la fois bar, salon de thé, le Bistrot du Moulin attenant au Moulin de la Chartreuse, dans le cadre atypique de son ancienne grange propose une ambiance chaleureuse, une cuisine gourmande de saison, généreuse et authentique.",12€,8.8 Très bon,0490254559,"74 rue de la République, 30400 Villeneuve-lès-Avignon",N/A
