name,price,address,equipments,formatted_capacity,opening_periods,horaires,langues
Les Jardins de Baracane - Chambres d'hôtes,190€,"12 rue Baracane, 84000 Avignon",Piscine,5 chambre(s) pour 12 Personne(s) personnes,Du 4 avril 2025 au 31 octobre 2025 - Ouvert tous les jours,,N/D
Mas des Cigales - Location de vacances,,"1640 chemin de la Grande Chaussée, 84000 Avignon",Piscine,5 chambre(s) pour 10 Personne(s) personnes,Toute l'année 2025 - Ouvert tous les jours,,N/D
Hôtel Boquier,72€,"6, rue du Portail Boquier, 84000 Avignon","Non accessible en fauteuil roulant,Matériel Bébé,Climatisation,Séjour / Salle à manger,Lit bébé,Abris pour vélo ou VTT,Climatisation,Parking,Parking payant,Petit déjeuner,Bagagerie,Accès Internet Wifi",1 chambre(s) pour 2 Chambre(s) twin   personnes,Toute l'année 2025 - Ouvert tous les jours,,N/D
Appartements des Teinturiers - Location de vacances,,"27 rue des Teinturiers, 84000 Avignon","Non accessible en fauteuil roulant,Aspirateur,Baignoire,Non fumeur,Chauffage,Matériel Bébé,Accès Internet privatif Wifi,Lit 140 cm,Cuisine,Congélateur,Coin cuisine,Double vitrage",1 chambre(s) pour Non disponible personnes,Toute l'année 2025 - Ouvert tous les jours,,N/D
L'oustalou -  Chambre d'hôtes,,"370 Chemin du Mont Blanc / La Barthelasse, 84000 Avignon",,Non disponible chambre(s) pour Non disponible personnes,,,N/D
Garlande Hôtel Avignon Centre,80€,"20, rue Galante, 84000 Avignon","Handicap moteur,Non accessible en fauteuil roulant,Accessible en fauteuil roulant avec aide,Mobilier/Comptoir d'accueil adapté aux personnes en fauteuil roulant,Lit, wc... entre 46-50 cm de haut,Espace de circulation sur le côté du lit,Alarme visuelle avec flash lumineux,Lit bébé,Coffre privatif,Matériel Bébé,Equipements développement durable,Gestion des déchets",1 chambre(s) pour 10 Chambre(s) double   personnes,Du 28 février 2025 au 31 décembre 2025 - Ouvert tous les jours,,N/D
L'Oriflamme / Le Travertin,,"5 rue de L'Oriflamme, 6bis rue Jacob, 84000 Avignon","Lit bébé,Accès Internet privatif Wifi,Matériel Bébé,Parking,Parking payant,Habitation indépendante,Terrasse,Climatisation,Accès Internet Wifi,Ménage en fin de séjour,Animaux non acceptés",8 chambre(s) pour 7 Chambre(s) personnes,Toute l'année 2025 - Ouvert tous les jours,,N/D
Les Airis et le Mazet des Amants,,"135 chemin des Amants d'Avignon, 84140 Avignon",Piscine,2 chambre(s) pour 4 Personne(s) personnes,Toute l'année 2025 - Ouvert tous les jours,,N/D
Kosy Campus Del Sol Esplanade,,"5 & 149 rue Marcel Demonque, Agroparc, 84000 Avignon",Piscine,2 chambre(s) pour Non disponible personnes,"Toute l'année 2025 - Fermé le samedi, le dimanche",,N/D
Hôtel Médiéval,85€,"15, rue de la Petite Saunerie, 84000 Avignon","Non accessible en fauteuil roulant,Matériel Bébé,Coffre privatif,Coin cuisine,Lit bébé,Chambre familiale,Abris pour vélo ou VTT,Climatisation,Jardin,Accueil nuit,Petit déjeuner,Bagagerie",3 chambre(s) pour 77 Personne(s) personnes,Toute l'année 2025 - Ouvert tous les jours,,N/D
La Madeleine - Location de vacances,,"4, impasse des Abeilles, 84000 Avignon",Piscine,5 chambre(s) pour 8 Personne(s) personnes,Toute l'année 2025 - Ouvert tous les jours,,N/D
Hôtel Bagatelle - Le Pavillon Bleu,49€,"25, Allée Antoine Pinay, Ile de la Barthelasse, Ile de la Barthelasse, 84000 Avignon","Non accessible en fauteuil roulant,Animation,Animations de soirées,Matériel Bébé,Lit bébé,Chambre familiale,Abris pour vélo ou VTT,Aire de jeux,Bar,Terrasse,Parking,Jardin",4 chambre(s) pour 2 Chambre(s) twin   personnes,Toute l'année 2025 - Ouvert tous les jours,,N/D
Auberge Bagatelle / Auberge de jeunesse,,"25, allées Antoine Pinay, Ile de la Barthelasse, Ile de la Barthelasse, 84000 Avignon","Accessible en fauteuil roulant avec aide,Alarme visuelle avec flash lumineux,Animation,Matériel Bébé,Chambre familiale,Abris pour vélo ou VTT,Aire de jeux,Bar,Terrasse,Climatisation,Laverie,Parking",1 chambre(s) pour Non disponible personnes,Toute l'année 2025 - Ouvert tous les jours,,N/D
Domaine de la Jouvine - Location de vacances,,"540, Chemin de la Sacristie, 84000 Avignon",Piscine,8 chambre(s) pour 18 Personne(s) personnes,Toute l'année 2025 - Ouvert tous les jours,,N/D
Hôtel Central,59€,"31 rue de la République, 84000 Avignon","Accessible en fauteuil roulant en autonomie,Matériel Bébé,Coffre privatif,Lit bébé,Chambre familiale,Ascenseur,Bar,Terrasse,Climatisation,Accueil nuit,Petit déjeuner,Blanchisserie",2 chambre(s) pour 74 Personne(s) personnes,Toute l'année 2025 - Ouvert tous les jours,,N/D
Logis Hôtel Restaurant la Ferme,86€,"110, Chemin des Bois, 84000 Avignon",Piscine,2 chambre(s) pour 4 Chambre(s) twin   personnes,Du 16 janvier 2025 au 23 décembre 2025 - Ouvert tous les jours,,N/D
Résidence Apart'Hôtel Sainte-Marthe,,"6 A Route de Lyon, 84000 Avignon","Accessible en fauteuil roulant en autonomie,Non fumeur,Matériel Bébé,Climatisation,Coin cuisine,Lit 160 cm,Lit bébé,Chambre familiale,Lit 180 cm,Abris pour vélo ou VTT,Ascenseur,Salle de sport",Non disponible chambre(s) pour Non disponible personnes,Toute l'année 2025 - Ouvert tous les jours,,N/D
La Banasterie - Chambres d'hôtes,115€,"11, Rue de la Banasterie, 84000 Avignon","Non accessible en fauteuil roulant,Lit 140 cm,Accès Internet privatif Wifi gratuit,Sèche cheveux,Lit 160 cm,Lit bébé,Coffre privatif,Lit 180 cm,Douche,Accès Internet privatif Wifi,Matériel Bébé,Baignoire",5 chambre(s) pour 15 Personne(s) personnes,Du 1 février 2025 au 30 novembre 2025 - Ouvert tous les jours,,N/D
La Mirande - Hôtel,472€,"4, Place de L'Amirande, 84000 Avignon","Accessible en fauteuil roulant en autonomie,Gastronomie,Climatisation,Lit bébé,Coffre privatif,Douche à l'italienne,Matériel Bébé,Baignoire,Non fumeur,Restaurant,Jardin,Salle de réunion",1 chambre(s) pour 60 Personne(s) personnes,Toute l'année 2025 - Ouvert tous les jours,,N/D
Domaine de Rhodes - Chambres d'hôtes,115€,"Domaine de Rhodes, 486 chemin de Rhodes, Ile de la Barthelasse, 84000 Avignon",Piscine,5 chambre(s) pour 15 Personne(s) personnes,Du 15 mars 2025 au 15 novembre 2025 - Ouvert tous les jours,,N/D
L'Ilot Bambou - Chambres d'hôtes,90€,"3 Chemin des Tennis, Ile Piot, 84000 Avignon",Piscine,1 chambre(s) pour 5 Chambre(s) personnes,Du 28 février 2025 au 31 octobre 2025 - Ouvert tous les jours,,N/D
Anne de la Maison Blanche - Location de vacances,,"2, rue de Provence, 84000 Avignon","Non accessible en fauteuil roulant,Matériel Bébé,Accès Internet privatif Wifi,Accès Internet privatif Wifi gratuit,Lit bébé,A proximité propriétaire,Terrasse,Climatisation,Parking,Parking payant,Ménage avec supplément,Animaux non acceptés",5 chambre(s) pour 16 Personne(s) personnes,Du 28 janvier 2025 au 31 décembre 2025 - Ouvert tous les jours,,N/D
Villa Aigarden,140€,"30, Avenue Saint-Jean, 84000 Avignon",Piscine,3 chambre(s) pour 3 Chambre(s) personnes,Du 18 avril 2025 au 28 septembre 2025 - Ouvert tous les jours,,N/D
hotelF1 Avignon Courtine Gare TGV,35€,"205, Rue Jean Marie Tjibaou, 205 rue JM Tjibaou, 84000 Avignon","Accessible en fauteuil roulant en autonomie,Matériel Bébé,Climatisation,Lit bébé,Terrasse,Climatisation,Parking,Jardin,Parking privé,Parking gratuit,Animaux acceptés,Petit déjeuner",3 chambre(s) pour 71 Chambre(s) personnes,Toute l'année 2025 - Ouvert tous les jours,,N/D
Hôtel Mercure Avignon Centre Palais des Papes,,"1, rue Jean Vilar - Accès par le parking du Palais des Papes, 84000 Avignon","Accessible en fauteuil roulant avec aide,Accès Internet privatif Wifi gratuit,Sèche cheveux,Lit 160 cm,Chaise bébé,Lit bébé,Chambre familiale,Coffre privatif,Télévision,Téléphone ligne directe,Douche,Coin cuisine",3 chambre(s) pour 190 Personne(s) personnes,Toute l'année 2025 - Ouvert tous les jours,,N/D
