from_name,from_address,from_type,to_name,to_address,to_type,distance_m,time_min
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,0,0
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,Collégiale Saint-Didier,"Place Saint Didier, Avignon, 84000",Activité,8579,102
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,Museum Requien – Musée d’Histoire Naturelle,"67 rue Joseph Vernet, Avignon, 84000",Activité,8858,106
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,Restaurant La Bodeguita,"18 Boulevard Limbert, Avignon, France",Restaurant,7920,95
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,La Mirande – Le Restaurant Gastronomique,"4 place de l'Amirande, Avignon, France",Restaurant,8389,100
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,Le Carré du Palais,"1 Place du Palais, Avignon, France",Restaurant,8334,100
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,Livrée Ceccano – Bibliothèque municipale,"2 bis rue Laboureur, Avignon, 84000",Activité,8661,103
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,Restaurant Pizzéria Le Pili,"34- 36  Place des Corps Saints, Avignon, France",Restaurant,8673,104
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,Restaurant Le Patio / Bar à vin – Novotel Avignon Centre,"20 boulevard Saint Roch, Avignon, France",Restaurant,9122,109
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,Ancienne comédie d’Avignon,"9 Place Crillon, 84000 Avignon, France",Activité,8738,104
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,V&G Veggie et Gastro,"28 rue de la bonneterie, Avignon, France",Restaurant,8423,101
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,Restaurant La Vieille Fontaine – Hôtel d’Europe,"12, place Crillon, Avignon, France",Restaurant,8738,104
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,La Guinguette du Vieux Moulin,"5, rue du Vieux Moulin, Avignon, France",Restaurant,8998,107
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,Savita Café Restaurant,"62 Place des Corps Saints, 84000 Avignon, France",Restaurant,8670,104
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,Le CBR – Brasserie,"361 allée Louis Montagnat, Avignon, France",Restaurant,2260,27
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,L’Art Brock Café,"129 rue de la Frache, Avignon, France",Restaurant,10336,124
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,Aubergine,"15 rue de la République, Avignon, France",Restaurant,8624,103
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,Les Gustaves – Mercure Avignon TGV,"2 Rue Mère Térésa, Avignon, France",Restaurant,11151,133
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,Parc du Clos de la Murette,"Rue René Goscinny, 84000 Avignon, France",Activité,8584,103
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,L’Espace du Lavoir,"Place du Petit Pont, Vedène, 84270, Avignon, France",Activité,189,2
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,La Petite Cuillère,"1 Square Dagmar Silhol, Avignon, France",Restaurant,8578,102
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,Au Bistrot d’Entraigues,"76 rue Daniel Lavorini, Avignon, France",Restaurant,3255,39
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,L’Annexe,"69 avenue du General de Gaulle, Avignon, France",Restaurant,9297,111
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,Le Violette – Collection Lambert,"5 rue Violette, Avignon, France",Restaurant,8900,106
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,Maison Bronzini – Le Bistrot du Moulin,"74 rue de la République, Avignon, France",Restaurant,8753,105
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,Hôtel Madon de Châteaublanc,"13, rue Banasterie, Avignon, 84000",Activité,8323,99
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,Musée des Curiosités – Église des Célestins,"Place des Corps Saints, Avignon, 84000",Activité,8673,104
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,Bar à tapas et à vins Marion Nous,"1 Place des Carmes, Avignon, France",Restaurant,8003,96
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,Restaurant Bar le Casino,"29 place de la Poste, Avignon, France",Restaurant,10455,125
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,Chez Papé et Mamé,"8 impasse du lavoir, Avignon, France",Restaurant,3259,39
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,Estaminet Arômes et Tentations,"8, RUE MAZAN, Avignon, France",Restaurant,8707,104
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,Tour Philippe-le-Bel,"Montée de la Tour, Villeneuve-lez-Avignon, 30400",Activité,8755,105
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,Abbaye Saint-Ruf,"avenue Moulin de Notre-Dame, Avignon, 84000",Activité,8927,107
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,La Margelle,"203 avenue de la Rétanque, Avignon, France",Restaurant,3348,40
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,La Salamandre,"13 Place Jean Jaurès, Avignon, France",Restaurant,10170,122
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,Vivotto,"34, rue des Trois Faucons, Avignon, France",Restaurant,8625,103
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,Place du Palais,"Place du Palais, Avignon, 84000",Activité,8417,101
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,Best Western Plus Le Lavarin – Restaurant,"1715, chemin du Lavarin, Avignon, France",Restaurant,10197,122
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,Clocher du couvent des Augustins,"20, rue Carreterie, Avignon, 84000",Activité,7978,95
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,Chapelle des Pénitents Noirs,"57 rue Banasterie, Avignon, 84000",Activité,8110,97
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,Restaurant Opéra café,"24 place de l'Horloge, Avignon, France",Restaurant,8517,102
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,Le Prieuré – Baumanière,"7 place du Chapitre, Avignon, France",Restaurant,8840,106
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,Restaurant Le Goût du Jour,"20, rue Saint-Etienne, Avignon, France",Restaurant,8628,103
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,Musée Angladon – Collection Jacques Doucet,"5, rue Laboureur, Avignon, 84000",Activité,8622,103
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,LES TERRASSES DU ROUGE GORGE,"10 bis, Place de l'Amirande, Avignon, France",Restaurant,8398,100
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,Brut Butcher,"641 avenue de Saint Tronquet, Avignon, France",Restaurant,2543,30
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,V&G Veggie et Gourmand,"24 Rue de la Bonneterie, Avignon, France",Restaurant,8433,101
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,Planet Rock,"229 rue Graham Bell, Avignon, France",Restaurant,2289,27
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,L’Annexe,"7 Place Saint-Marc, Avignon, France",Restaurant,8770,105
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,Auberge de Cassagne & Spa,"450 allée de Cassagne, Avignon, France",Restaurant,3138,37
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,Chapelle de l’Oratoire,"32 rue Joseph Vernet, Avignon, 84000",Activité,8767,105
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,Parc Municipal Bardi,"Avenue Pierre de Coubertin, Vedène, 84270, Avignon, France",Activité,229,2
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,Restaurant Le 26,"26, rue des Trois Faucons, Avignon, France",Restaurant,8608,103
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,O’Gastos,"49 rue porte de Jonquerettes, Avignon, France",Restaurant,3320,39
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,Chapelle des Pénitents Gris,"53 rue de la République, Villeneuve-lez-Avignon, 30400",Activité,8778,105
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,Le Pavillon Bleu,"25, allée Antoine Pinay, Avignon, France",Restaurant,8866,106
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,Restaurant / Cocktail Bar   Le Bercail,"162, Chemin des Canotiers, Avignon, France",Restaurant,7939,95
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,Naka,"4, Place de la Principale, Avignon, France",Restaurant,8526,102
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,Jardin des Carmes,"Place des Carmes, Avignon, 84000",Activité,7980,95
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,Eglise Saint-Symphorien les Carmes,"Place des Carmes, Avignon, 84000",Activité,7980,95
L’Autre Table,"35 rue notre dame, Avignon, France",Restaurant,Crêperie Le L,"3 place Saint-Marc, Avignon, France",Restaurant,8770,105
