nom,thèmes,langues,adresse,tel,tarifs,note,horaires,image,catégorie_simplifiée
Hôtel des Monnaies,"Patrimoine historique, Hôtel particulier",Fr,"Place du Palais, Avignon, 84000",330490037060,N/D,N/D,Non disponible,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/cf0/250-219-21355514-335x335.webp,Patrimoine Historique
Parc Champfleury,Parc,Fr,"Avenue du Blanchissage, Avignon, 84000",33490808000,0.0,N/D,,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/d4e/163-107-23554979-335x335.webp,Nature & Jardins
Archives Municipales – Musée du Mont de Piété et de la Condition des Soies,"Histoire, Sciences et techniques, Métiers",Fr,"6, rue Saluces, Avignon, 84000",33490865312,0.0,N/D,,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/430/209-26-8526545-335x335.webp,Archéologie & Histoire
Chapelle des Pénitents Gris,"Patrimoine historique, Patrimoine religieux, Chapelle",Fr,"53 rue de la République, Villeneuve-lez-Avignon, 30400",330490254624,0.0,N/D,,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/c2b/239-46-3813103-335x335.webp,Patrimoine Religieux
Parc du Clos de la Murette,Parc,Fr,"rue René Goscinny, Avignon, 84000",33490808000,0.0,N/D,,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/9a9/108-3-9765740-335x335.webp,Nature & Jardins
Parc Municipal Bardi,Parc,Fr,"Avenue Pierre de Coubertin, Vedène, 84270",330490237676,0.0,N/D,,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/2da/146-192-8437906-335x335.webp,Nature & Jardins
Le Lavoir,"Patrimoine historique, Lavoir",Fr,"Place du lavoir, Rochefort-du-Gard, 30650",330490266900,0.0,N/D,Non disponible,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/c3b/188-133-3900860-335x335.webp,Patrimoine Historique
La Fontaine de l’Ange,"Fontaine, Patrimoine historique",Fr,"Place du Comte raymon VI, Rochefort-du-Gard, 30650",330490266900,0.0,N/D,Non disponible,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/686/215-132-3900631-335x335.webp,Patrimoine Historique
Eglise Saint Thomas,"Patrimoine religieux, Eglise",Fr,"Place de l'église, Vedène, 84270",330490237676,0.0,N/D,Non disponible,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/055/124-179-7517052-335x335.webp,Patrimoine Religieux
Eglise paroissiale Saint Symphorien,"Patrimoine religieux, Eglise",Fr,"Place de l'Église, Caumont-sur-Durance, 84510",330490012020,0.0,N/D,,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/5d7/187-160-4759739-335x335.webp,Patrimoine Religieux
Tour des Templiers,"Patrimoine historique, Tour",Fr,"Place de l'église, Entraigues-sur-la-Sorgue, 84320",330490831716,N/D,N/D,Non disponible,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/607/90-148-3904602-335x335.webp,Patrimoine Historique
