,"1 Place des Carmes, Avignon, France","1 Place du Palais, Avignon, France","1 Square Dagmar Silhol, Avignon, France","1 rue de l'Hôpital, Avignon, France","1 rue henri fabre, Avignon, France","10 bis, Place de l'Amirande, Avignon, France","10 bis, rue Peyrolerie, Avignon, France","10 chemin de la Barthelasse, Avignon, France","10 place Saint Marc, Avignon, France","101 Rue de la Bonneterie, Avignon, France","11 rue de Taulignan, Avignon, 84000","11, Rue de l'Hôpital, Avignon, France","110 chemin des Bois, Avignon, France","12, place Crillon, Avignon, France","129 rue de la Frache, Avignon, France","13 Chemin du Polygone, Avignon, France","13 Place Jean Jaurès, Avignon, France","13 Place de l'Horloge, Avignon, France","13, rue Banasterie, Avignon, 84000","130, Chemin du Pont Blanc, Avignon, France","14 Place Saint Didier, Avignon, France","15 rue Laurent Bertrand, Avignon, France","15 rue de la République, Avignon, France","162, Chemin des Canotiers, Avignon, France","17 rue Racine, Avignon, France","1715, chemin du Lavarin, Avignon, France","18 Boulevard Limbert, Avignon, France","18ter, Rue Pétramale, Avignon, France","2 Rue Mère Térésa, Avignon, France","2 bis rue Laboureur, Avignon, 84000","2 place Jérusalem, Avignon, 84000","20 boulevard Saint Roch, Avignon, France","20, rue Carreterie, Avignon, 84000","20, rue Saint-Etienne, Avignon, France","203 avenue de la Rétanque, Avignon, France","21, place des Corps Saints, Avignon, France","229 rue Graham Bell, Avignon, France","23, Rue de la Bancasse, Avignon, France","24 Rue de la Bonneterie, Avignon, France","24 place de l'Horloge, Avignon, France","25, allée Antoine Pinay, Avignon, France","25-27, place des Corps Saints, Avignon, France","26, rue des Trois Faucons, Avignon, France","27 rue de la République, Avignon, 84000","276 rue du Jas, Avignon, France","28 rue de la bonneterie, Avignon, France","29 place de la Poste, Avignon, France","29 rue Théodore Aubanel, Avignon, France","2968, Avenue de l'Amandier, Avignon, France","3 place Saint-Marc, Avignon, France","3 rue de la République, Villeneuve-lez-Avignon, 30400","3, Place Saint-Marc, Avignon, France","311 chemin des Petits Rougiers, Avignon, France","32 rue Joseph Vernet, Avignon, 84000","322 avenue de Saint Tronquet, Avignon, France","34, rue des Trois Faucons, Avignon, France","34- 36  Place des Corps Saints, Avignon, France","35 rue notre dame, Avignon, France","361 allée Louis Montagnat, Avignon, France","37 rue Camp de Bataille, Avignon, France","37 rue de la Saraillerie, Avignon, France","3B rue de la Petite Calade, Avignon, France","4 Place Jean Jaurès, Avignon, France","4 Place de l'Amirande, Avignon, France","4 place de l'Amirande, Avignon, France","4, Place de la Principale, Avignon, France","4, place de l'Amirande, Avignon, France","41 – 43 rue Carnot, Avignon, France","43 rue de la république, Avignon, France","450 allée de Cassagne, Avignon, France","49 rue porte de Jonquerettes, Avignon, France","5 Rue Cabassole, Avignon, France","5 place Jean Jaurès, Avignon, France","5 rue Violette, Avignon, France","5 rue Violette, Avignon, 84000","5 rue de la république, Avignon, France","5, rue Laboureur, Avignon, 84000","5, rue de la République, Avignon, France","5, rue du Vieux Moulin, Avignon, France","51 avenue du Mont-Ventoux, Avignon, France","53 rue de la République, Villeneuve-lez-Avignon, 30400","57 rue Banasterie, Avignon, 84000","58 rue de la République, Villeneuve-lez-Avignon, 30400","6, rue Saluces, Avignon, 84000","62 Place des Corps Saints, Avignon, France","62 place du Petit Pont, Avignon, France","641 avenue de Saint Tronquet, Avignon, France","641 avenue de Saint-Tronquet, Avignon, France","65 rue Joseph Vernet, Avignon, 84000","67 rue Joseph Vernet, Avignon, 84000","68, place des Corps Saints, Avignon, France","69 avenue du General de Gaulle, Avignon, France","7 Place Saint-Marc, Avignon, France","7 place du Chapitre, Avignon, France","7, impasse du Pont, Avignon, France","719 route de Carpentras, Avignon, France","72, place des Corps Saints, Avignon, France","74 Place des Corps Saints, Avignon, France","74 rue de la République, Avignon, France","76 rue Daniel Lavorini, Avignon, France","8 impasse du lavoir, Avignon, France","8 rue de Mons, Avignon, 84000","8, RUE MAZAN, Avignon, France","9 rue de la République, Avignon, France","9, place Crillon, Avignon, 84000","Avenue Pierre de Coubertin, Le Pontet, 84130, Avignon, France","Avenue Pierre de Coubertin, Vedène, 84270, Avignon, France","Avenue du Blanchissage, Avignon, 84000","Avignon, 84000","Centre Commercial Buld'Air, Avignon, France","Chemin de la Banastière, Avignon, France","Montfavet, Avignon, 84000","Montée de la Tour, Villeneuve-lez-Avignon, 30400","Palais des papes, Avignon, 84000","Place Meissonnier, Villeneuve-lez-Avignon, 30400","Place Saint Didier, Avignon, 84000","Place de l'Église, Caumont-sur-Durance, 84510, Avignon, France","Place de l'église, Caumont-sur-Durance, 84510, Avignon, France","Place de l'église, Entraigues-sur-la-Sorgue, 84320, Avignon, France","Place de l'église, Vedène, 84270, Avignon, France","Place des Carmes, Avignon, 84000","Place des Corps Saints, Avignon, 84000","Place du Palais, Avignon, 84000","Place du Petit Pont, Vedène, 84270, Avignon, France","RD 6580, Avignon, France","Rue de la Dévalade, Caumont-sur-Durance, 84510, Avignon, France","Rue des Teinturiers, Avignon, 84000","Rue du Portail Boquier, Avignon, 84000","avenue Moulin de Notre-Dame, Avignon, 84000","boulevard Gambetta, Avignon, 84000","rue René Goscinny, Avignon, 84000","rue Vice-légat, Avignon, 84000"
"1 Place des Carmes, Avignon, France",0,454,1824,17335,777,427,455,1105,1921,439,379,17335,3072,800,17350,3116,7472,603,348,6802,598,11015,620,579,645,3131,586,594,3321,682,365,1179,31,698,9632,742,5985,595,440,535,1102,788,663,727,1134,432,17478,7431,3613,1951,2195,1951,5676,780,5975,688,788,8007,7025,2724,558,799,12333,417,417,524,417,246,874,5103,9450,1525,12333,928,928,589,653,589,1543,10130,2195,385,2195,179,761,8188,5753,5753,842,855,798,11385,1951,1982,1728,4722,811,816,2294,10909,10832,497,753,7434,800,4081,8233,1350,571,6960,6529,5272,1567,423,1944,598,12300,12300,10811,7826,62,788,520,8188,5961,12316,588,937,2149,1630,2828,398
"1 Place du Palais, Avignon, France",454,0,1466,17755,728,162,173,692,1537,671,176,17755,3121,404,17770,2809,7916,345,178,7112,546,11291,441,483,263,3221,992,686,3167,607,347,1063,485,294,10045,776,6267,450,429,248,650,821,661,642,1421,435,17898,7878,4025,1568,1827,1568,5954,463,6251,689,821,8338,7427,2308,485,530,12779,164,164,406,164,339,834,5487,9865,1974,12779,805,805,373,609,373,1098,10553,1827,233,1845,292,783,8522,6029,6029,613,637,822,11833,1568,1591,1276,5048,835,844,1936,11186,11103,272,376,7878,404,4500,8563,1271,291,7275,6908,5726,1131,95,1556,546,12748,12748,11087,8162,434,821,83,8522,5511,12764,932,883,2358,1724,3151,141
"1 Square Dagmar Silhol, Avignon, France",1824,1466,0,18418,2104,1613,1610,800,186,2137,1640,18418,2631,1491,18429,1368,8832,1693,1645,7290,1961,11261,1808,1298,1523,4538,2410,2135,4053,1993,1810,2299,1848,1478,10697,2193,6357,1838,1882,1632,1150,2232,2078,2013,2888,1890,18555,8835,5427,197,373,197,6037,1661,6319,2102,2232,8581,8042,1010,1903,1758,14035,1618,1618,1825,1618,1800,2194,6054,10531,3278,14035,2098,2098,1742,2013,1742,745,11270,373,1438,379,1724,2193,8778,6104,6104,1851,1879,2228,13075,197,265,1138,5364,2240,2248,471,11162,11056,1686,1534,8794,1491,5297,8801,2514,1653,7472,7412,6887,638,1555,225,1961,13994,13994,11061,8430,1773,2232,1460,8778,4385,14006,2385,2224,3796,3102,4618,1604
"1 rue de l'Hôpital, Avignon, France",17335,17755,18418,0,17900,17762,17790,18175,18602,17454,17714,0,16300,18134,58,18780,10047,17925,17683,11596,17809,9714,17908,17478,17979,18404,17031,17658,19864,17877,17664,18234,17305,18030,7724,17780,12568,17872,17699,17869,18380,17798,17793,17911,17209,17686,161,10181,15199,18616,18688,18616,12846,18104,12643,17800,17798,10336,10377,19382,17803,18102,9778,17752,17752,17808,17752,17559,17942,12364,7897,16064,9778,18079,18079,17900,17832,17900,18659,7206,18688,17567,18587,17514,17804,10135,12806,12806,18116,18118,17814,9803,18616,18682,18980,13141,17819,17817,18691,9727,9924,17825,18088,10083,18134,13255,10165,18269,17901,11400,11028,12694,18625,17751,18641,17809,9616,9616,9790,10405,17335,17798,17834,10135,22674,9554,17202,17992,17486,17911,16595,17732
"1 rue henri fabre, Avignon, France",777,728,2104,17900,0,567,555,1304,2137,458,571,17900,3807,626,17918,3471,7956,416,590,7543,192,11773,301,1183,583,2494,869,244,2544,121,444,405,793,626,10227,136,6744,281,349,495,1025,149,119,91,925,353,18046,7891,3656,2168,2439,2168,6437,462,6735,102,149,8730,7653,2811,249,376,12523,568,568,324,568,551,106,5769,10040,1868,12523,179,179,371,128,371,1555,10695,2439,912,2480,665,119,8908,6514,6514,309,291,138,11593,2168,2176,1538,5456,146,154,2558,11666,11592,457,576,7918,626,4679,8957,576,463,7698,7198,5609,1627,636,2147,192,12501,12501,11569,8546,821,149,691,8908,5804,12520,699,164,1696,1008,2604,597
"10 bis, Place de l'Amirande, Avignon, France",427,162,1613,17762,567,0,28,826,1675,536,48,17762,3263,372,17778,2963,7896,212,79,7184,384,11378,290,625,218,3058,896,527,3036,446,198,915,458,273,10059,613,6351,292,270,120,707,658,498,483,1278,277,17906,7852,3916,1706,1969,1706,6039,369,6337,526,658,8401,7449,2427,322,414,12698,10,10,244,10,233,673,5521,9877,1906,12698,655,655,227,447,227,1195,10558,1969,358,1992,248,620,8584,6115,6115,484,505,659,11755,1706,1726,1326,5113,672,681,2080,11273,11192,118,325,7858,372,4508,8627,1119,164,7346,6946,5670,1239,68,1692,384,12669,12669,11174,8223,430,658,153,8584,5590,12685,814,725,2199,1562,3009,37
"10 bis, rue Peyrolerie, Avignon, France",455,173,1610,17790,555,28,0,819,1669,547,75,17790,3284,345,17806,2962,7922,187,107,7213,374,11406,270,645,191,3048,916,527,3013,433,208,895,485,248,10087,606,6379,276,272,93,686,651,491,469,1285,280,17934,7878,3931,1700,1964,1700,6067,341,6365,518,651,8430,7478,2415,313,387,12718,38,38,233,38,255,660,5550,9905,1928,12718,636,636,205,436,205,1180,10586,1964,380,1989,275,612,8613,6142,6142,459,481,651,11775,1700,1718,1303,5141,664,672,2076,11301,11220,99,297,7884,345,4536,8656,1101,137,7374,6975,5693,1226,84,1685,374,12689,12689,11202,8252,459,651,150,8613,5571,12705,829,710,2197,1553,3016,65
"10 chemin de la Barthelasse, Avignon, France",1105,692,800,18175,1304,826,819,0,850,1359,858,18175,2942,699,18189,2166,8430,893,867,7297,1161,11394,1008,712,722,3757,1676,1340,3418,1192,1024,1519,1133,678,10452,1393,6406,1037,1090,834,431,1432,1278,1213,2104,1099,18316,8409,4712,881,1146,881,6088,867,6380,1302,1432,8558,7810,1620,1104,965,13428,832,832,1027,832,1031,1395,5839,10278,2622,13428,1305,1305,942,1213,942,488,10989,1146,732,1178,973,1393,8748,6159,6159,1060,1088,1427,12477,881,900,831,5282,1439,1448,1260,11291,11197,890,738,8392,699,4949,8781,1737,853,7470,7240,6334,480,773,866,1161,13393,13393,11191,8393,1065,1432,672,8748,4881,13408,1625,1427,2995,2305,3835,821
"10 place Saint Marc, Avignon, France",1921,1537,186,18602,2137,1675,1669,850,0,2208,1706,18602,2802,1514,18613,1370,9003,1734,1715,7475,2005,11440,1847,1420,1563,4533,2505,2188,3978,2030,1874,2301,1947,1514,10881,2234,6541,1880,1939,1681,1145,2271,2121,2047,2954,1949,18739,9004,5533,31,303,31,6221,1683,6503,2144,2271,8767,8225,849,1950,1778,14175,1681,1681,1874,1681,1876,2222,6237,10714,3400,14175,2115,2115,1784,2054,1784,679,11451,303,1535,373,1808,2232,8964,6288,6288,1868,1895,2266,13217,31,80,1034,5550,2277,2285,427,11341,11234,1738,1561,8966,1514,5472,8986,2513,1698,7657,7597,7036,575,1621,39,2005,14135,14135,11240,8616,1873,2271,1522,8964,4217,14148,2467,2246,3833,3122,4685,1670
"101 Rue de la Bonneterie, Avignon, France",439,671,2137,17454,458,536,547,1359,2208,0,501,17454,3506,825,17471,3471,7527,560,493,7097,359,11336,493,987,701,2692,431,216,2954,422,339,847,439,761,9775,366,6308,451,301,564,1215,403,342,456,752,289,17600,7468,3389,2239,2498,2239,6003,717,6302,355,403,8278,7196,2962,368,680,12202,529,529,406,529,339,527,5311,9589,1458,12202,637,637,516,377,516,1724,10248,2498,743,2516,435,390,8455,6081,6081,670,668,417,11264,2239,2260,1810,5008,428,431,2607,11229,11157,502,766,7489,825,4225,8504,979,568,7250,6740,5223,1772,586,2226,359,12176,12176,11131,8092,499,403,688,8455,6092,12193,295,588,1728,1191,2480,538
